"lac","mu","K","gam","laa","reps"
0.7,0,20,0.001,0.1,77
0.7,0,20,0.001,0.1,78
0.7,0,20,0.001,0.1,79
0.7,0,20,0.001,0.1,80
0.7,0,20,0.001,0.1,81
0.7,0,20,0.001,0.1,82
0.7,0,20,0.001,0.1,83
0.7,0,20,0.001,0.1,84
0.7,0,20,0.001,0.1,85
0.7,0,20,0.001,0.1,86
0.7,0,20,0.001,0.1,87
0.7,0,20,0.001,0.1,88
0.7,0,20,0.001,0.1,89
0.7,0,20,0.001,0.1,90
0.7,0,20,0.001,0.1,91
0.7,0,20,0.001,0.1,92
0.7,0,20,0.001,0.1,93
0.7,0,20,0.001,0.1,94
0.7,0,20,0.001,0.1,95
0.7,0,20,0.001,0.1,96
0.7,0,20,0.001,0.1,97
0.7,0,20,0.001,0.1,98
0.7,0,20,0.001,0.1,99
0.7,0,20,0.001,0.1,100
0.4,0.3,20,0.001,0.1,1
0.4,0.3,20,0.001,0.1,2
0.4,0.3,20,0.001,0.1,3
0.4,0.3,20,0.001,0.1,4
0.4,0.3,20,0.001,0.1,5
0.4,0.3,20,0.001,0.1,6
0.4,0.3,20,0.001,0.1,7
0.4,0.3,20,0.001,0.1,8
0.4,0.3,20,0.001,0.1,9
0.4,0.3,20,0.001,0.1,10
0.4,0.3,20,0.001,0.1,11
0.4,0.3,20,0.001,0.1,12
0.4,0.3,20,0.001,0.1,13
0.4,0.3,20,0.001,0.1,14
0.4,0.3,20,0.001,0.1,15
0.4,0.3,20,0.001,0.1,16
0.4,0.3,20,0.001,0.1,17
0.4,0.3,20,0.001,0.1,18
0.4,0.3,20,0.001,0.1,19
0.4,0.3,20,0.001,0.1,20
0.4,0.3,20,0.001,0.1,21
0.4,0.3,20,0.001,0.1,22
0.4,0.3,20,0.001,0.1,23
0.4,0.3,20,0.001,0.1,24
0.4,0.3,20,0.001,0.1,25
0.4,0.3,20,0.001,0.1,26
0.4,0.3,20,0.001,0.1,27
0.4,0.3,20,0.001,0.1,28
0.4,0.3,20,0.001,0.1,29
0.4,0.3,20,0.001,0.1,30
0.4,0.3,20,0.001,0.1,31
0.4,0.3,20,0.001,0.1,32
0.4,0.3,20,0.001,0.1,33
0.4,0.3,20,0.001,0.1,34
0.4,0.3,20,0.001,0.1,35
0.4,0.3,20,0.001,0.1,36
0.4,0.3,20,0.001,0.1,37
0.4,0.3,20,0.001,0.1,38
0.4,0.3,20,0.001,0.1,39
0.4,0.3,20,0.001,0.1,40
0.4,0.3,20,0.001,0.1,41
